"intermediatorid","sendconfigs_id","validatelegalattachments","digsigtype"
"CROSSINX",770098123,f,"PDF"
"CROSSINX",770098123,f,"FATTURAPA"
"CROSSINX",770098123,f,"GENERIC_PKCS7"
"CROSSINX",770098123,f,"ASCC_XML"
"CROSSINX",770098123,f,"CXML"
"CROSSINX",770098123,f,"PDF-PK7"
"CROSSINX",770098123,f,"FACTURAE"
"NEMMYSUP",770257634,f,"PDF"
"NEMMYSUP",770257634,f,"FATTURAPA"
"NEMMYSUP",770257634,f,"GENERIC_PKCS7"
"NEMMYSUP",770257634,f,"ASCC_XML"
"NEMMYSUP",770257634,f,"CXML"
"NEMMYSUP",770257634,f,"PDF-PK7"
"NEMMYSUP",770257634,f,"FACTURAE"
"003723327487",187975676,f,"PDF"
"003723327487",187975676,f,"GENERIC_PKCS7"
"003723327487",187975676,f,"PDF-PK7"
"003723327487",187975676,f,"ASCC_XML"
"003723327487",187975676,f,"FACTURAE"
"003723327487",187975676,f,"FATTURAPA"
"003723327487",187975676,f,"CXML"
"ADQUIRA",40496702,f,"PDF"
"ADQUIRA",40496702,f,"GENERIC_PKCS7"
"ADQUIRA",40496702,f,"PDF-PK7"
"ADQUIRA",40496702,f,"ASCC_XML"
"ADQUIRA",40496702,f,"FACTURAE"
"ADQUIRA",40496702,f,"FATTURAPA"
"ADQUIRA",40496702,f,"CXML"
"003714377140",38650745,f,"PDF"
"003714377140",38650745,f,"GENERIC_PKCS7"
"003714377140",38650745,f,"PDF-PK7"
"003714377140",38650745,f,"ASCC_XML"
"003714377140",38650745,f,"FACTURAE"
"003714377140",38650745,f,"FATTURAPA"
"003714377140",38650745,f,"CXML"
"HELSFIHH",129270161,f,"PDF"
"HELSFIHH",129270161,f,"GENERIC_PKCS7"
"HELSFIHH",129270161,f,"PDF-PK7"
"HELSFIHH",129270161,f,"ASCC_XML"
"HELSFIHH",129270161,f,"FACTURAE"
"HELSFIHH",129270161,f,"FATTURAPA"
"HELSFIHH",129270161,f,"CXML"
"CELTRINO",90792990,f,"PDF"
"CELTRINO",90792990,f,"GENERIC_PKCS7"
"CELTRINO",90792990,f,"PDF-PK7"
"CELTRINO",90792990,f,"ASCC_XML"
"CELTRINO",90792990,f,"FACTURAE"
"CELTRINO",90792990,f,"FATTURAPA"
"CELTRINO",90792990,f,"CXML"
"GEBC",4648718,f,"PDF"
"GEBC",4648718,f,"GENERIC_PKCS7"
"GEBC",4648718,f,"PDF-PK7"
"GEBC",4648718,f,"ASCC_XML"
"GEBC",4648718,f,"FACTURAE"
"GEBC",4648718,f,"FATTURAPA"
"GEBC",4648718,f,"CXML"
"GEBC",14860071,f,"PDF"
"GEBC",14860071,f,"GENERIC_PKCS7"
"GEBC",14860071,f,"PDF-PK7"
"GEBC",14860071,f,"ASCC_XML"
"GEBC",14860071,f,"FACTURAE"
"GEBC",14860071,f,"FATTURAPA"
"GEBC",14860071,f,"CXML"
"VOLVO",113156772,f,"PDF"
"VOLVO",113156772,f,"GENERIC_PKCS7"
"VOLVO",113156772,f,"PDF-PK7"
"VOLVO",113156772,f,"ASCC_XML"
"VOLVO",113156772,f,"FACTURAE"
"VOLVO",113156772,f,"FATTURAPA"
"VOLVO",113156772,f,"CXML"
"ITELLA",12206099,f,"PDF"
"ITELLA",12206099,f,"GENERIC_PKCS7"
"ITELLA",12206099,f,"PDF-PK7"
"ITELLA",12206099,f,"ASCC_XML"
"ITELLA",12206099,f,"FACTURAE"
"ITELLA",12206099,f,"FATTURAPA"
"ITELLA",12206099,f,"CXML"
"PRIHANDEL",-7,f,"PDF"
"PRIHANDEL",-7,f,"GENERIC_PKCS7"
"PRIHANDEL",-7,f,"PDF-PK7"
"PRIHANDEL",-7,f,"ASCC_XML"
"PRIHANDEL",-7,f,"FACTURAE"
"PRIHANDEL",-7,f,"FATTURAPA"
"PRIHANDEL",-7,f,"CXML"
"PRIHANDEL",1580720,f,"PDF"
"PRIHANDEL",1580720,f,"GENERIC_PKCS7"
"PRIHANDEL",1580720,f,"PDF-PK7"
"PRIHANDEL",1580720,f,"ASCC_XML"
"PRIHANDEL",1580720,f,"FACTURAE"
"PRIHANDEL",1580720,f,"FATTURAPA"
"PRIHANDEL",1580720,f,"CXML"
"STRÅLFORS",1566129,f,"PDF"
"STRÅLFORS",1566129,f,"GENERIC_PKCS7"
"STRÅLFORS",1566129,f,"PDF-PK7"
"STRÅLFORS",1566129,f,"ASCC_XML"
"STRÅLFORS",1566129,f,"FACTURAE"
"STRÅLFORS",1566129,f,"FATTURAPA"
"STRÅLFORS",1566129,f,"CXML"
"SWISSCOM",2837040,f,"PDF"
"SWISSCOM",2837040,f,"GENERIC_PKCS7"
"SWISSCOM",2837040,f,"PDF-PK7"
"SWISSCOM",2837040,f,"ASCC_XML"
"SWISSCOM",2837040,f,"FACTURAE"
"SWISSCOM",2837040,f,"FATTURAPA"
"SWISSCOM",2837040,f,"CXML"
"OKOYFIHH",151259024,f,"PDF"
"OKOYFIHH",151259024,f,"GENERIC_PKCS7"
"OKOYFIHH",151259024,f,"PDF-PK7"
"OKOYFIHH",151259024,f,"ASCC_XML"
"OKOYFIHH",151259024,f,"FACTURAE"
"OKOYFIHH",151259024,f,"FATTURAPA"
"OKOYFIHH",151259024,f,"CXML"
"PAYNET",3029174,f,"PDF"
"PAYNET",3029174,f,"GENERIC_PKCS7"
"PAYNET",3029174,f,"PDF-PK7"
"PAYNET",3029174,f,"ASCC_XML"
"PAYNET",3029174,f,"FACTURAE"
"PAYNET",3029174,f,"FATTURAPA"
"PAYNET",3029174,f,"CXML"
"DE0004",15932104,f,"PDF"
"DE0004",15932104,f,"GENERIC_PKCS7"
"DE0004",15932104,f,"PDF-PK7"
"DE0004",15932104,f,"ASCC_XML"
"DE0004",15932104,f,"FACTURAE"
"DE0004",15932104,f,"FATTURAPA"
"DE0004",15932104,f,"CXML"
"PRIHANDEL",18289144,f,"PDF"
"PRIHANDEL",18289144,f,"GENERIC_PKCS7"
"PRIHANDEL",18289144,f,"PDF-PK7"
"PRIHANDEL",18289144,f,"ASCC_XML"
"PRIHANDEL",18289144,f,"FACTURAE"
"PRIHANDEL",18289144,f,"FATTURAPA"
"PRIHANDEL",18289144,f,"CXML"
"NDEASESS",20753946,f,"PDF"
"NDEASESS",20753946,f,"GENERIC_PKCS7"
"NDEASESS",20753946,f,"PDF-PK7"
"NDEASESS",20753946,f,"ASCC_XML"
"NDEASESS",20753946,f,"FACTURAE"
"NDEASESS",20753946,f,"FATTURAPA"
"NDEASESS",20753946,f,"CXML"
"PROCEEDO",4954871,f,"PDF"
"PROCEEDO",4954871,f,"GENERIC_PKCS7"
"PROCEEDO",4954871,f,"PDF-PK7"
"PROCEEDO",4954871,f,"ASCC_XML"
"PROCEEDO",4954871,f,"FACTURAE"
"PROCEEDO",4954871,f,"FATTURAPA"
"PROCEEDO",4954871,f,"CXML"
"STRÅLFORS",32304052,f,"PDF"
"STRÅLFORS",32304052,f,"GENERIC_PKCS7"
"STRÅLFORS",32304052,f,"PDF-PK7"
"STRÅLFORS",32304052,f,"ASCC_XML"
"STRÅLFORS",32304052,f,"FACTURAE"
"STRÅLFORS",32304052,f,"FATTURAPA"
"STRÅLFORS",32304052,f,"CXML"
"B2BGATEWAY",90599902,f,"PDF"
"B2BGATEWAY",90599902,f,"GENERIC_PKCS7"
"B2BGATEWAY",90599902,f,"PDF-PK7"
"B2BGATEWAY",90599902,f,"ASCC_XML"
"B2BGATEWAY",90599902,f,"FACTURAE"
"B2BGATEWAY",90599902,f,"FATTURAPA"
"B2BGATEWAY",90599902,f,"CXML"
"CREDIFLOW",115825704,f,"PDF"
"CREDIFLOW",115825704,f,"GENERIC_PKCS7"
"CREDIFLOW",115825704,f,"PDF-PK7"
"CREDIFLOW",115825704,f,"ASCC_XML"
"CREDIFLOW",115825704,f,"FACTURAE"
"CREDIFLOW",115825704,f,"FATTURAPA"
"CREDIFLOW",115825704,f,"CXML"
"Nets",-15,f,"PDF"
